Location,Traffic Volume,Passenger Count,Noise Level,Average Speed,PM2.5 Level,AQI,Day of the Week,Time of the Day
Karol Bagh,4337.0,21685.0,78.066,16.0,346.96,693.0,Saturday,Evening
Dwarka,4206.0,63090.0,63.09,14.0,336.48,672.0,Thursday,Morning
Saket,1139.0,4556.0,42.05930812030075,34.0,45.56,399.59022556390977,Monday,Midnight
Mayur Vihar,2564.7330928764654,19953.552766085388,85.032,12.0,377.92,399.59022556390977,Sunday,Night
Rohini,2564.7330928764654,30996.0,38.745,28.0,180.81,542.0,Tuesday,Evening
Chandni Chowk,3768.0,15072.0,67.824,17.0,226.08,452.0,Friday,Night
Lajpat Nagar,4592.0,36736.0,82.656,10.0,321.44,964.0,Friday,Evening
Rohini,1210.0,8470.0,19.36,36.0,72.6,217.0,Tuesday,Midnight
Rohini,3806.0,7612.0,57.09,20.0,266.42,532.0,Thursday,Night
Rohini,4677.0,28062.0,70.155,12.0,374.16,748.0,Tuesday,Night
Lajpat Nagar,1430.0,10010.0,22.88,36.0,85.8,85.0,Tuesday,Midnight
Vasant Kunj,2950.0,29500.0,44.25,25.0,177.0,354.0,Sunday,Afternoon
Connaught Place,3380.0,30420.0,50.7,22.0,202.8,608.0,Wednesday,Night
Mayur Vihar,850.0,6800.0,14.45,39.0,42.5,127.0,Friday,Midnight
Vasant Kunj,2486.0,2486.0,39.776,29.0,165.9120510894065,149.0,Sunday,Morning
Lajpat Nagar,4569.0,31983.0,68.535,11.0,365.52,731.0,Tuesday,Night
Mayur Vihar,2557.0,7344.0,14.688,40.0,55.08,165.0,Friday,Midnight
Chandni Chowk,3559.0,21354.0,53.385,17.0,249.13,747.0,Friday,Night
Connaught Place,1295.0,9065.0,22.015,35.0,51.8,51.0,Friday,Afternoon
Saket,3250.0,13000.0,58.5,23.0,227.5,455.0,Saturday,Evening
Saket,945.0,5670.0,17.01,39.0,56.7,113.0,Wednesday,Midnight
Lajpat Nagar,1432.0,4296.0,22.912,34.0,85.92,85.0,Monday,Midnight
Lajpat Nagar,857.0,2571.0,12.855,37.0,51.42,51.0,Tuesday,Afternoon
Vasant Kunj,3965.0,51545.0,63.44,18.0,277.55,832.0,Sunday,Night
Saket,3902.0,23412.0,62.432,17.0,273.14,546.0,Tuesday,Night
Dwarka,1318.0,15816.0,22.406,35.0,65.9,65.0,Wednesday,Midnight
Karol Bagh,1459.0,10213.0,23.344,34.0,58.36,58.0,Friday,Midnight
Connaught Place,1759.0,26385.0,42.05930812030075,33.0,105.54,105.0,Friday,Afternoon
Pitampura,2035.0,2035.0,34.595,29.0,101.75,101.0,Wednesday,Evening
Mayur Vihar,1023.0,5115.0,17.391,34.0,61.38,122.0,Monday,Midnight
Pitampura,1788.0,19668.0,26.82,26.61385840973997,71.52,214.0,Sunday,Afternoon
Vasant Kunj,4715.0,19953.552766085388,80.155,12.0,377.2,1131.0,Friday,Evening
Pitampura,4253.0,46783.0,63.795,14.0,297.71,893.0,Sunday,Evening
Connaught Place,1045.0,3135.0,15.675,36.0,52.25,52.0,Sunday,Midnight
Dwarka,4688.0,65632.0,84.384,12.0,375.04,750.0,Tuesday,Night
Dwarka,2573.0,18011.0,46.314,28.0,154.38,463.0,Saturday,Afternoon
Dwarka,4688.0,65632.0,84.384,10.0,375.04,399.59022556390977,Saturday,Evening
Saket,674.0,4718.0,10.11,40.0,33.7,101.0,Saturday,Midnight
Chandni Chowk,4645.0,60385.0,78.965,12.0,325.15,975.0,Friday,Morning
Lajpat Nagar,711.0,10665.0,12.798,40.0,42.66,127.0,Monday,Midnight
Rohini,4569.0,50259.0,77.673,13.0,319.83,639.0,Tuesday,Afternoon
Rohini,2374.0,16618.0,37.984,28.0,94.96,94.0,Tuesday,Evening
Mayur Vihar,2964.0,2964.0,50.388,26.61385840973997,207.48,622.0,Saturday,Afternoon
Dwarka,4446.0,35568.0,80.028,15.0,355.68,1067.0,Tuesday,Night
Vasant Kunj,1939.0,29085.0,29.085,33.0,116.34,232.0,Sunday,Afternoon
Karol Bagh,2850.0,8550.0,45.6,26.0,171.0,513.0,Saturday,Afternoon
Connaught Place,2024.0,14168.0,30.36,28.0,80.96,80.0,Wednesday,Evening
Pitampura,3580.0,25060.0,64.44,26.61385840973997,250.6,751.0,Friday,Evening
Saket,4431.0,4431.0,70.896,14.0,310.17,930.0,Sunday,Evening
Karol Bagh,4525.0,19953.552766085388,76.925,11.0,362.0,724.0,Monday,Night
Dwarka,3660.0,32940.0,62.22,17.0,256.2,512.0,Saturday,Afternoon
Rohini,1286.0,7716.0,23.148,34.0,51.44,51.0,Monday,Midnight
Saket,2564.7330928764654,32263.0,52.794,26.0,205.31,615.0,Tuesday,Evening
Rohini,2826.0,39564.0,42.39,27.0,169.56,508.0,Wednesday,Evening
Chandni Chowk,1308.0,19620.0,22.236,35.0,52.32,399.59022556390977,Tuesday,Midnight
Pitampura,768.0,19953.552766085388,11.52,40.0,165.9120510894065,30.0,Monday,Afternoon
Mayur Vihar,4490.0,31430.0,71.84,15.0,359.2,718.0,Wednesday,Afternoon
Saket,1232.0,6160.0,20.944,36.0,49.28,98.0,Monday,Afternoon
Pitampura,579.0,3474.0,8.685,38.0,28.95,28.0,Tuesday,Afternoon
Karol Bagh,3494.0,31446.0,55.904,24.0,244.58,733.0,Friday,Evening
Rohini,2804.0,42060.0,44.864,25.0,196.28,588.0,Monday,Evening
Connaught Place,1198.0,10782.0,20.366,34.0,47.92,143.0,Monday,Afternoon
Pitampura,2118.0,31770.0,38.124,30.0,165.9120510894065,351.0,Tuesday,Evening
Dwarka,1877.0,9385.0,41.804,31.0,165.9120510894065,281.0,Saturday,Morning
Lajpat Nagar,2177.0,30478.0,34.832,30.0,108.85,326.0,Sunday,Morning
Rohini,2731.0,15360.0,46.427,26.0,191.17,382.0,Tuesday,Evening
Connaught Place,1388.0,1388.0,23.596,36.0,83.28,166.0,Tuesday,Afternoon
Rohini,1065.0,13845.0,19.17,36.0,53.25,159.0,Saturday,Midnight
Vasant Kunj,4820.0,15360.0,72.3,26.61385840973997,385.6,1156.0,Sunday,Evening
Dwarka,2002.0,12012.0,36.036,29.0,100.1,200.0,Thursday,Evening
Mayur Vihar,4733.0,28398.0,80.461,12.0,331.31,993.0,Tuesday,Morning
Lajpat Nagar,1407.0,19698.0,22.512,34.0,84.42,168.0,Thursday,Midnight
Karol Bagh,2836.0,36868.0,48.212,25.0,170.16,510.0,Thursday,Evening
Dwarka,3892.0,42812.0,58.38,17.0,272.44,817.0,Friday,Morning
Rohini,2564.7330928764654,1271.0,22.878,34.0,63.55,63.0,Monday,Midnight
Vasant Kunj,4575.0,13725.0,68.625,11.0,366.0,1098.0,Friday,Morning
Karol Bagh,760.0,1520.0,13.68,37.0,45.6,136.0,Saturday,Midnight
Mayur Vihar,3376.0,13504.0,60.768,22.0,202.56,607.0,Monday,Night
Dwarka,2356.0,7068.0,37.696,30.0,165.9120510894065,188.0,Wednesday,Evening
Chandni Chowk,3783.0,18915.0,56.745,17.0,264.81,794.0,Tuesday,Night
Rohini,2557.0,14036.0,20.416,35.0,76.56,229.0,Friday,Afternoon
Dwarka,1201.0,1201.0,19.216,34.0,48.04,144.0,Friday,Afternoon
Mayur Vihar,2564.7330928764654,29040.0,72.6,13.0,338.8,677.0,Friday,Morning
Vasant Kunj,4766.0,9532.0,81.022,10.0,381.28,1143.0,Friday,Evening
Pitampura,3096.0,27864.0,49.536,21.0,185.76,557.0,Friday,Night
Pitampura,4059.0,24354.0,60.885,26.61385840973997,324.72,649.0,Wednesday,Afternoon
Vasant Kunj,1131.0,9048.0,18.096,34.0,45.24,135.0,Wednesday,Midnight
Mayur Vihar,2100.0,10500.0,35.7,30.0,126.0,252.0,Monday,Evening
Vasant Kunj,2278.0,29614.0,38.726,28.0,136.68,136.0,Sunday,Afternoon
Mayur Vihar,553.0,7742.0,9.954,38.0,27.65,55.0,Friday,Midnight
Rohini,3556.0,39116.0,60.452,26.61385840973997,213.36,426.0,Wednesday,Night
Connaught Place,3709.0,55635.0,55.635,18.0,259.63,778.0,Wednesday,Night
Saket,1013.0,12156.0,15.195,34.0,60.78,399.59022556390977,Saturday,Midnight
Dwarka,2278.0,34170.0,36.448,30.0,91.12,91.0,Sunday,Afternoon
Karol Bagh,3798.0,7596.0,56.97,20.0,265.86,531.0,Thursday,Morning
Rohini,696.0,2088.0,11.136,40.0,41.76,83.0,Thursday,Afternoon
Mayur Vihar,2443.0,21987.0,36.645,28.0,97.72,97.0,Sunday,Afternoon
Connaught Place,839.0,10907.0,15.102,40.0,165.9120510894065,151.0,Friday,Afternoon
Karol Bagh,1243.0,1243.0,21.131,35.0,49.72,99.0,Wednesday,Afternoon
Chandni Chowk,3526.0,38786.0,56.416,18.0,246.82,740.0,Sunday,Afternoon
Karol Bagh,1166.0,11660.0,18.656,35.0,69.96,209.0,Friday,Midnight
Karol Bagh,1188.0,2376.0,19.008,34.0,59.4,178.0,Thursday,Midnight
Saket,1755.0,26325.0,31.59,32.0,105.3,105.0,Sunday,Afternoon
Karol Bagh,634.0,7608.0,11.412,38.0,31.7,31.0,Friday,Midnight
Rohini,3347.0,23429.0,56.899,24.0,234.29,468.0,Wednesday,Morning
Chandni Chowk,2564.7330928764654,6660.0,49.95,23.0,199.8,599.0,Tuesday,Morning
Lajpat Nagar,4069.0,32552.0,61.035,16.0,325.52,976.0,Friday,Morning
Saket,1071.0,3213.0,17.136,34.0,42.84,399.59022556390977,Friday,Afternoon
Chandni Chowk,1677.0,10062.0,25.155,33.0,83.85,167.0,Sunday,Morning
Karol Bagh,897.0,6279.0,13.455,37.0,35.88,35.0,Friday,Afternoon
Vasant Kunj,2879.0,19953.552766085388,48.943,27.0,201.53,604.0,Monday,Evening
Connaught Place,2564.7330928764654,63752.0,88.272,13.0,343.28,1029.0,Tuesday,Morning
Karol Bagh,2557.0,21315.0,22.736,36.0,71.05,71.0,Thursday,Midnight
Rohini,580.0,5220.0,9.86,37.0,34.8,34.0,Wednesday,Afternoon
Saket,4414.0,35312.0,70.624,15.0,308.98,926.0,Friday,Night
Saket,4517.0,13551.0,81.306,11.0,361.36,722.0,Tuesday,Morning
Dwarka,2564.7330928764654,2364.0,9.456,39.0,35.46,35.0,Thursday,Midnight
Dwarka,1081.0,7567.0,18.377,35.0,64.86,64.0,Tuesday,Afternoon
Pitampura,1516.0,1516.0,25.772,33.0,90.96,90.0,Sunday,Morning
Mayur Vihar,4414.0,22070.0,79.452,16.0,353.12,1059.0,Wednesday,Night
Karol Bagh,2560.0,5120.0,46.08,28.0,153.6,399.59022556390977,Sunday,Afternoon
Rohini,890.0,10680.0,15.13,39.0,53.4,106.0,Friday,Midnight
Lajpat Nagar,1880.0,13160.0,33.84,33.0,94.0,282.0,Wednesday,Evening
Lajpat Nagar,669.0,3345.0,11.373,40.0,33.45,100.0,Monday,Afternoon
Mayur Vihar,4582.0,22910.0,68.73,13.0,320.74,962.0,Friday,Morning
Dwarka,4171.0,45881.0,75.078,16.0,291.97,399.59022556390977,Sunday,Evening
Karol Bagh,1370.0,10960.0,24.66,36.0,82.2,164.0,Friday,Afternoon
Mayur Vihar,3328.0,36608.0,49.92,23.0,232.96,698.0,Thursday,Morning
Pitampura,1417.0,21255.0,21.255,36.0,165.9120510894065,212.0,Friday,Midnight
Saket,1465.0,10255.0,21.975,26.61385840973997,58.6,58.0,Friday,Afternoon
Rohini,1450.0,8700.0,21.75,35.0,165.9120510894065,87.0,Tuesday,Midnight
Karol Bagh,3890.0,15560.0,66.13,18.0,233.4,466.0,Monday,Night
Dwarka,3302.0,46228.0,49.53,23.0,198.12,399.59022556390977,Monday,Morning
Saket,3114.0,18684.0,46.71,22.0,217.98,653.0,Wednesday,Night
Lajpat Nagar,4205.0,25230.0,75.69,14.0,336.4,1009.0,Friday,Morning
Rohini,2328.0,4656.0,37.248,28.0,93.12,93.0,Thursday,Evening
Saket,2564.7330928764654,38416.0,49.392,27.0,192.08,576.0,Sunday,Morning
Lajpat Nagar,983.0,8847.0,15.728,37.0,39.32,39.0,Monday,Midnight
Dwarka,1493.0,19953.552766085388,23.888,36.0,89.58,268.0,Wednesday,Midnight
Lajpat Nagar,3550.0,14200.0,60.35,20.0,213.0,426.0,Friday,Evening
Mayur Vihar,3021.0,12084.0,45.315,23.0,165.9120510894065,422.0,Wednesday,Morning
Karol Bagh,1970.0,17730.0,33.49,33.0,118.2,236.0,Thursday,Evening
Rohini,660.0,2640.0,11.88,40.0,39.6,39.0,Thursday,Midnight
Dwarka,2557.0,22169.0,47.505,22.0,221.69,443.0,Thursday,Night
Saket,1865.0,26110.0,27.975,32.0,111.9,111.0,Saturday,Morning
Pitampura,955.0,9550.0,17.19,39.0,38.2,114.0,Friday,Midnight
Dwarka,720.0,2880.0,12.96,38.0,28.8,28.0,Sunday,Midnight
Lajpat Nagar,1834.0,3668.0,31.178,33.0,91.7,91.0,Saturday,Morning
Rohini,634.0,9510.0,42.05930812030075,40.0,25.36,50.0,Saturday,Midnight
Saket,1159.0,6954.0,18.544,34.0,57.95,173.0,Wednesday,Afternoon
Saket,3090.0,12360.0,55.62,24.0,216.3,648.0,Monday,Night
Lajpat Nagar,3451.0,10353.0,55.216,21.0,207.06,621.0,Friday,Afternoon
Pitampura,3870.0,42570.0,65.79,18.0,270.9,812.0,Tuesday,Night
Mayur Vihar,605.0,4840.0,10.285,40.0,36.3,108.0,Friday,Afternoon
Vasant Kunj,944.0,3776.0,16.048,38.0,37.76,75.0,Saturday,Midnight
Chandni Chowk,4073.0,40730.0,65.168,16.0,285.11,855.0,Tuesday,Morning
Dwarka,3329.0,43277.0,53.264,22.0,165.9120510894065,699.0,Monday,Night
Saket,1348.0,9436.0,24.264,36.0,67.4,399.59022556390977,Friday,Midnight
Chandni Chowk,4116.0,49392.0,74.088,16.0,329.28,399.59022556390977,Friday,Afternoon
Rohini,1688.0,10128.0,25.32,32.0,67.52,135.0,Monday,Evening
Connaught Place,3943.0,55202.0,63.088,26.61385840973997,236.58,709.0,Sunday,Night
Rohini,1680.0,19953.552766085388,25.2,32.0,165.9120510894065,201.0,Sunday,Afternoon
Chandni Chowk,4475.0,17900.0,71.6,15.0,313.25,939.0,Saturday,Evening
Lajpat Nagar,925.0,13875.0,15.725,38.0,37.0,111.0,Sunday,Midnight
Rohini,843.0,2529.0,13.488,37.0,42.15,126.0,Wednesday,Afternoon
Saket,3223.0,41899.0,42.05930812030075,21.0,225.61,676.0,Friday,Night
Saket,4660.0,55920.0,83.88,13.0,372.8,1118.0,Wednesday,Night
Mayur Vihar,2440.0,17080.0,43.92,30.0,97.6,195.0,Tuesday,Evening
Chandni Chowk,567.0,1134.0,10.206,40.0,28.35,28.0,Friday,Midnight
Connaught Place,2564.7330928764654,59730.0,71.676,19.0,278.74,836.0,Sunday,Evening
Rohini,560.0,5040.0,9.52,39.0,28.0,56.0,Wednesday,Afternoon
Chandni Chowk,3171.0,25368.0,53.907,24.0,221.97,665.0,Friday,Morning
Rohini,844.0,11816.0,12.66,38.0,42.2,42.0,Friday,Afternoon
Chandni Chowk,1415.0,4245.0,22.64,34.0,56.6,169.0,Wednesday,Midnight
Connaught Place,3508.0,49112.0,59.636,17.0,245.56,736.0,Saturday,Evening
Pitampura,995.0,2985.0,15.92,37.0,49.75,49.0,Tuesday,Afternoon
Saket,502.0,7530.0,8.534,39.0,20.08,20.0,Saturday,Midnight
Vasant Kunj,1220.0,15860.0,18.3,26.61385840973997,48.8,97.0,Tuesday,Afternoon
Vasant Kunj,3426.0,17130.0,61.668,22.0,205.56,616.0,Saturday,Evening
Saket,1175.0,7050.0,21.15,35.0,47.0,141.0,Sunday,Midnight
Chandni Chowk,4145.0,53885.0,70.465,14.0,290.15,870.0,Wednesday,Morning
Lajpat Nagar,4559.0,22795.0,72.944,12.0,319.13,638.0,Tuesday,Night
Rohini,2592.0,23328.0,38.88,26.61385840973997,155.52,466.0,Friday,Morning
Rohini,628.0,3768.0,9.42,39.0,37.68,75.0,Tuesday,Midnight
Chandni Chowk,2088.0,16704.0,37.584,29.0,104.4,208.0,Monday,Evening
Connaught Place,4725.0,33075.0,75.6,12.0,378.0,1134.0,Friday,Morning
Saket,1570.0,21980.0,26.69,32.0,62.8,62.0,Sunday,Morning
Mayur Vihar,1189.0,5945.0,41.804,34.0,47.56,47.0,Friday,Afternoon
Mayur Vihar,3279.0,9837.0,59.022,24.0,229.53,459.0,Wednesday,Night
Dwarka,1750.0,1750.0,26.25,31.0,105.0,399.59022556390977,Saturday,Afternoon
Karol Bagh,1411.0,2822.0,25.398,35.0,56.44,169.0,Tuesday,Midnight
Saket,2581.0,2581.0,46.458,26.0,154.86,464.0,Sunday,Afternoon
Karol Bagh,4706.0,37648.0,41.804,11.0,376.48,752.0,Tuesday,Morning
Vasant Kunj,1430.0,7150.0,25.74,34.0,71.5,143.0,Tuesday,Midnight
Dwarka,1796.0,26940.0,28.736,32.0,89.8,269.0,Monday,Evening
Mayur Vihar,2564.7330928764654,3140.0,42.05930812030075,21.0,219.8,659.0,Sunday,Night
Pitampura,4567.0,9134.0,42.05930812030075,10.0,365.36,1096.0,Friday,Evening
Lajpat Nagar,983.0,12779.0,16.711,37.0,154.44,49.0,Thursday,Afternoon
Dwarka,2156.0,32340.0,32.34,28.0,129.36,388.0,Thursday,Evening
Lajpat Nagar,938.0,12194.0,15.946,37.0,37.52,75.0,Thursday,Afternoon
Rohini,1312.0,1312.0,19.68,35.0,65.6,65.0,Wednesday,Midnight
Saket,2408.0,19264.0,38.528,29.0,96.32,288.0,Tuesday,Evening
Saket,3147.0,34617.0,56.646,21.0,188.82,566.0,Wednesday,Morning
Vasant Kunj,3140.0,15700.0,50.24,23.0,219.8,439.0,Sunday,Night
Pitampura,2939.0,5878.0,49.963,27.0,205.73,411.0,Monday,Evening
Karol Bagh,2107.0,16856.0,31.605,28.0,105.35,210.0,Sunday,Morning
Mayur Vihar,1884.0,15072.0,33.912,31.0,113.04,226.0,Sunday,Morning
Lajpat Nagar,1223.0,14676.0,20.791,35.0,73.38,220.0,Thursday,Midnight
Vasant Kunj,4208.0,4208.0,63.12,26.61385840973997,336.64,673.0,Sunday,Evening
Lajpat Nagar,2692.0,21536.0,43.072,25.0,161.52,484.0,Sunday,Morning
Chandni Chowk,4932.0,4932.0,78.912,11.0,394.56,1183.0,Tuesday,Morning
Connaught Place,690.0,4140.0,12.42,39.0,27.6,55.0,Wednesday,Afternoon
Karol Bagh,4310.0,8620.0,77.58,14.0,344.8,689.0,Wednesday,Night
Chandni Chowk,2816.0,19953.552766085388,45.056,27.0,197.12,394.0,Saturday,Morning
Saket,2775.0,5550.0,44.4,28.0,194.25,388.0,Saturday,Morning
Connaught Place,4658.0,18632.0,74.528,12.0,326.06,978.0,Sunday,Night
Lajpat Nagar,3840.0,23040.0,69.12,19.0,268.8,806.0,Thursday,Night
Chandni Chowk,2564.7330928764654,730.0,12.41,37.0,43.8,131.0,Friday,Afternoon
Karol Bagh,1278.0,17892.0,19.17,34.0,63.9,191.0,Monday,Afternoon
Dwarka,2011.0,24132.0,30.165,28.0,120.66,361.0,Saturday,Afternoon
Vasant Kunj,1014.0,13182.0,15.21,34.0,60.84,60.0,Monday,Afternoon
Vasant Kunj,2150.0,25800.0,36.55,30.0,129.0,387.0,Sunday,Morning
Karol Bagh,1563.0,6252.0,26.571,32.0,78.15,156.0,Monday,Evening
Lajpat Nagar,4377.0,30639.0,70.032,16.0,350.16,700.0,Sunday,Night
Saket,598.0,5980.0,10.764,37.0,23.92,47.0,Wednesday,Midnight
Karol Bagh,3582.0,17910.0,60.894,19.0,214.92,429.0,Friday,Morning
Mayur Vihar,1113.0,16695.0,17.808,36.0,66.78,66.0,Saturday,Midnight
Connaught Place,4824.0,48240.0,82.008,12.0,337.68,1013.0,Wednesday,Morning
Mayur Vihar,3282.0,29538.0,55.794,21.0,229.74,689.0,Friday,Evening
Chandni Chowk,2676.0,21408.0,42.816,25.0,160.56,481.0,Tuesday,Evening
Chandni Chowk,3894.0,38940.0,58.41,19.0,233.64,700.0,Tuesday,Night
Vasant Kunj,4607.0,36856.0,82.926,11.0,368.56,1105.0,Sunday,Night
Saket,3571.0,32139.0,60.707,19.0,214.26,642.0,Wednesday,Afternoon
Saket,1227.0,6135.0,22.086,34.0,49.08,49.0,Thursday,Afternoon
Chandni Chowk,2453.0,4906.0,36.795,29.0,98.12,98.0,Sunday,Morning
Dwarka,2286.0,34290.0,38.862,28.0,114.3,342.0,Saturday,Morning
Mayur Vihar,3701.0,19953.552766085388,59.216,18.0,222.06,444.0,Wednesday,Night
Lajpat Nagar,3721.0,55815.0,55.815,17.0,260.47,781.0,Sunday,Night
Dwarka,2564.7330928764654,38072.0,85.662,13.0,380.72,761.0,Tuesday,Night
Pitampura,3470.0,48580.0,55.52,22.0,208.2,624.0,Tuesday,Night
Pitampura,2967.0,32637.0,50.439,26.0,207.69,415.0,Tuesday,Evening
Dwarka,2096.0,2096.0,35.632,28.0,165.9120510894065,167.0,Thursday,Evening
Karol Bagh,1471.0,22065.0,23.536,35.0,88.26,88.0,Saturday,Midnight
Karol Bagh,3496.0,31464.0,42.05930812030075,24.0,244.72,734.0,Friday,Night
Chandni Chowk,1476.0,11808.0,22.14,36.0,59.04,118.0,Monday,Midnight
Vasant Kunj,896.0,9856.0,14.336,38.0,35.84,71.0,Thursday,Afternoon
Karol Bagh,3472.0,27776.0,55.552,24.0,243.04,486.0,Sunday,Evening
Chandni Chowk,3035.0,19953.552766085388,54.63,24.0,182.1,364.0,Friday,Night
Rohini,793.0,7137.0,11.895,26.61385840973997,31.72,95.0,Monday,Midnight
Lajpat Nagar,3614.0,54210.0,54.21,18.0,252.98,758.0,Wednesday,Night
Lajpat Nagar,3966.0,51558.0,71.388,20.0,277.62,555.0,Wednesday,Night
Dwarka,2564.7330928764654,2637.0,42.192,26.0,184.59,553.0,Monday,Evening
Dwarka,3276.0,3276.0,58.968,24.0,229.32,687.0,Tuesday,Night
Saket,788.0,6304.0,11.82,26.61385840973997,47.28,94.0,Monday,Midnight
Saket,2710.0,8130.0,48.78,28.0,189.7,399.59022556390977,Sunday,Afternoon
Mayur Vihar,1400.0,19953.552766085388,22.4,34.0,70.0,399.59022556390977,Wednesday,Afternoon
Karol Bagh,3316.0,3316.0,49.74,22.0,232.12,464.0,Sunday,Evening
Saket,1352.0,9464.0,20.28,35.0,54.08,54.0,Monday,Afternoon
Karol Bagh,2987.0,32857.0,53.766,28.0,209.09,627.0,Saturday,Morning
Karol Bagh,4948.0,19953.552766085388,74.22,11.0,395.84,791.0,Wednesday,Morning
Vasant Kunj,4319.0,21595.0,73.423,15.0,345.52,1036.0,Sunday,Afternoon
Dwarka,1714.0,18854.0,27.424,32.0,68.56,137.0,Saturday,Afternoon
Rohini,2314.0,30082.0,34.71,29.0,138.84,416.0,Monday,Evening
Karol Bagh,929.0,12077.0,16.722,37.0,37.16,37.0,Monday,Midnight
Karol Bagh,1749.0,12243.0,26.235,33.0,69.96,139.0,Tuesday,Evening
Chandni Chowk,3463.0,10389.0,51.945,21.0,242.41,484.0,Monday,Night
Mayur Vihar,3928.0,54992.0,62.848,18.0,274.96,824.0,Tuesday,Night
Mayur Vihar,2726.0,13630.0,46.342,26.61385840973997,190.82,572.0,Thursday,Evening
Saket,3479.0,24353.0,62.622,22.0,243.53,487.0,Tuesday,Morning
Mayur Vihar,1213.0,13343.0,42.05930812030075,34.0,72.78,218.0,Sunday,Midnight
Rohini,2718.0,2718.0,48.924,28.0,163.08,489.0,Thursday,Evening
Vasant Kunj,921.0,8289.0,13.815,39.0,36.84,73.0,Sunday,Midnight
Vasant Kunj,4209.0,19953.552766085388,75.762,14.0,294.63,589.0,Friday,Night
Karol Bagh,983.0,7864.0,17.694,40.0,58.98,176.0,Friday,Afternoon
Dwarka,2709.0,5418.0,48.762,25.0,189.63,568.0,Wednesday,Afternoon
Chandni Chowk,3222.0,28998.0,51.552,24.0,225.54,451.0,Tuesday,Night
Dwarka,4289.0,25734.0,68.624,14.0,343.12,1029.0,Monday,Night
Pitampura,2564.7330928764654,818.0,13.088,40.0,32.72,65.0,Friday,Afternoon
Mayur Vihar,4695.0,4695.0,70.425,11.0,375.6,1126.0,Friday,Evening
Lajpat Nagar,749.0,5992.0,11.235,37.0,29.96,59.0,Friday,Afternoon
Chandni Chowk,3752.0,37520.0,63.784,26.61385840973997,262.64,525.0,Thursday,Morning
Chandni Chowk,1484.0,17808.0,26.712,36.0,89.04,178.0,Sunday,Midnight
Dwarka,4169.0,25014.0,66.704,15.0,291.83,583.0,Sunday,Evening
Rohini,3929.0,55006.0,70.722,19.0,235.74,471.0,Saturday,Evening
Pitampura,3672.0,44064.0,66.096,19.0,165.9120510894065,440.0,Sunday,Evening
Lajpat Nagar,3541.0,28328.0,60.197,17.0,247.87,495.0,Wednesday,Night
Rohini,3119.0,6238.0,53.023,21.0,218.33,436.0,Sunday,Evening
Saket,2004.0,30060.0,30.06,28.0,120.24,360.0,Friday,Afternoon
Lajpat Nagar,1164.0,15132.0,19.788,34.0,58.2,174.0,Tuesday,Afternoon
Lajpat Nagar,1129.0,5645.0,18.064,36.0,45.16,45.0,Friday,Afternoon
Chandni Chowk,956.0,14340.0,17.208,40.0,57.36,172.0,Tuesday,Midnight
Karol Bagh,1671.0,6684.0,26.736,32.0,100.26,300.0,Tuesday,Evening
Chandni Chowk,3404.0,6808.0,57.868,21.0,238.28,476.0,Monday,Morning
Vasant Kunj,617.0,3085.0,9.255,37.0,30.85,61.0,Monday,Afternoon
Karol Bagh,1192.0,9536.0,20.264,36.0,59.6,59.0,Monday,Afternoon
Chandni Chowk,1651.0,18161.0,29.718,31.0,66.04,66.0,Friday,Afternoon
Dwarka,3430.0,17150.0,58.31,21.0,205.8,411.0,Tuesday,Night
Saket,4985.0,44865.0,84.745,12.0,398.8,797.0,Friday,Evening
Saket,867.0,10404.0,15.606,37.0,43.35,130.0,Wednesday,Midnight
Connaught Place,2571.0,23139.0,43.707,27.0,179.97,359.0,Sunday,Afternoon
Chandni Chowk,4519.0,22595.0,81.342,10.0,316.33,632.0,Tuesday,Morning
Dwarka,808.0,7272.0,12.12,40.0,48.48,145.0,Wednesday,Afternoon
Mayur Vihar,782.0,19953.552766085388,14.076,37.0,46.92,46.0,Wednesday,Afternoon
Chandni Chowk,1187.0,11870.0,21.366,35.0,71.22,71.0,Wednesday,Midnight
Connaught Place,874.0,10488.0,14.858,38.0,52.44,399.59022556390977,Monday,Afternoon
Chandni Chowk,1017.0,10170.0,16.272,35.0,50.85,152.0,Friday,Afternoon
Karol Bagh,3614.0,3614.0,54.21,18.0,252.98,505.0,Wednesday,Morning
Vasant Kunj,1921.0,21131.0,32.657,31.0,76.84,153.0,Thursday,Evening
Saket,4299.0,55887.0,68.784,14.0,300.93,902.0,Thursday,Night
Saket,2763.0,13815.0,44.208,25.0,193.41,386.0,Sunday,Afternoon
Saket,2564.7330928764654,22544.0,50.724,25.0,197.26,394.0,Sunday,Morning
Dwarka,2228.0,22280.0,35.648,29.0,89.12,178.0,Sunday,Morning
Karol Bagh,1124.0,15736.0,16.86,34.0,56.2,112.0,Sunday,Midnight
Connaught Place,695.0,6950.0,10.425,40.0,27.8,27.0,Friday,Afternoon
Rohini,4860.0,19440.0,77.76,11.0,388.8,1166.0,Saturday,Afternoon
Dwarka,1217.0,15821.0,21.906,34.0,48.68,48.0,Wednesday,Afternoon
Connaught Place,2648.0,34424.0,39.72,26.0,165.9120510894065,317.0,Monday,Evening
Saket,3336.0,43368.0,42.05930812030075,24.0,233.52,467.0,Thursday,Night
Vasant Kunj,604.0,8456.0,9.664,38.0,30.2,60.0,Sunday,Midnight
